cluster_id,start_distance_ft,end_distance_ft,span_ft,center_distance_ft,avg_clock_position,anomaly_count,max_depth_pct,avg_depth_pct,total_length_in,avg_width_in,severity_score,is_critical
0,125.12,127.58,2.4599999999999937,126.35,7.449999999999999,2,18.0,17.0,5.55,3.04,11.864999999999998,False
1,668.73,668.81,0.07999999999992724,668.77,5.6,2,40.0,30.5,5.6899999999999995,5.54,20.707,False
2,679.22,679.28,0.05999999999994543,679.25,8.55,2,25.0,20.0,3.9699999999999998,3.625,14.190999999999999,False
3,957.34,957.56,0.2199999999999136,957.45,4.008333333333333,2,28.0,22.5,4.6,2.235,15.580000000000002,False
4,1198.08,1204.54,6.460000000000036,1201.31,4.050000000000001,2,13.0,13.0,13.110000000000001,3.12,12.133,False
5,1226.73,1242.62,15.889999999999873,1235.6439999999998,5.339999999999999,5,11.0,10.4,16.619999999999997,3.444,16.886,False
6,1252.92,1265.9,12.980000000000018,1260.514,5.126666666666666,5,11.0,10.4,39.75,3.6339999999999995,23.825,False
7,1275.79,1284.35,8.559999999999945,1278.9625,6.6625,4,11.0,10.5,22.02,6.605,17.006,False
8,1296.52,1302.67,6.150000000000091,1298.9875,5.483333333333333,4,12.0,10.5,9.88,3.4425000000000003,13.764000000000001,False
9,1322.91,1330.47,7.559999999999945,1326.69,9.108333333333334,2,10.0,10.0,11.31,4.89,10.393,False
10,1341.04,1494.04,153.0,1412.4185714285716,5.993571428571428,70,17.0,10.771428571428572,683.5799999999999,9.472285714285713,316.87399999999997,False
11,1507.88,1518.41,10.529999999999973,1513.4420000000002,3.06,5,11.0,10.2,39.16,7.279999999999999,23.648,False
12,1553.88,1595.1,41.2199999999998,1578.9691666666665,9.854166666666666,12,20.0,12.166666666666666,64.59,7.5566666666666675,45.376999999999995,False
13,1628.77,1635.31,6.539999999999964,1633.2175000000002,11.241666666666667,4,11.0,10.5,17.669999999999998,15.370000000000001,15.701,False
14,1673.93,1674.51,0.5799999999999272,1674.22,9.616666666666667,2,11.0,10.5,11.379999999999999,12.22,10.814,False
15,2104.45,2161.08,56.63000000000011,2133.1991304347825,8.681159420289855,23,25.0,13.173913043478262,30.14,1.458260869565217,53.542,False
16,2174.62,2194.13,19.51000000000022,2182.85625,8.11875,8,14.0,11.5,8.23,1.2037499999999999,20.069000000000003,False
17,2218.72,2270.99,52.26999999999998,2244.4879411764705,6.198529411764705,34,18.0,12.5,41.22,1.0876470588235294,70.566,False
18,2290.43,2310.53,20.100000000000364,2300.6285714285714,5.552380952380951,7,16.0,12.857142857142858,16.759999999999998,2.694285714285715,21.927999999999997,False
19,2982.66,3002.24,19.579999999999927,2994.0024999999996,8.545833333333333,8,13.0,11.0,11.06,1.135,20.518,False
20,3018.05,3019.88,1.8299999999999272,3018.965,5.833333333333334,2,10.0,10.0,2.39,0.935,7.717,False
21,3051.05,3069.07,18.019999999999982,3059.545,5.504166666666666,20,15.0,11.6,108.18,2.723,68.45400000000001,False
22,3347.22,3347.3,0.08000000000038199,3347.26,5.641666666666667,2,14.0,12.5,1.89,1.59,9.167000000000002,False
23,5292.54,5294.02,1.480000000000473,5293.280000000001,6.108333333333333,2,14.0,13.0,4.41,1.455,9.923000000000002,False
24,5342.18,5344.55,2.369999999999891,5343.693333333334,5.177777777777778,3,43.0,25.0,9.7,17.610000000000003,24.61,True
25,5361.13,5365.86,4.729999999999563,5363.230714285714,5.538095238095238,14,59.0,29.642857142857142,56.28,4.260714285714286,61.484,True
26,6924.26,6925.53,1.269999999999527,6924.895,11.108333333333334,2,20.0,17.0,1.1400000000000001,0.5700000000000001,11.342,False
27,6979.62,6979.64,0.020000000000436557,6979.63,6.025,2,25.0,21.0,2.91,2.955,13.873,False
28,7637.41,7638.8,1.3900000000003274,7637.986666666667,9.277777777777779,3,19.0,14.666666666666666,5.9,2.0566666666666666,13.870000000000001,False
29,8889.36,8889.87,0.5100000000002183,8889.615000000002,8.991666666666667,2,14.0,13.5,2.08,0.71,9.224000000000002,False
30,10574.38,10583.57,9.19000000000051,10578.802,5.066666666666666,5,26.0,19.0,20.069999999999997,3.058,23.921,False
31,13138.89,13139.11,0.22000000000116415,13138.966666666667,3.972222222222222,3,34.0,26.0,14.96,9.176666666666666,22.588,False
32,14928.01,14928.2,0.19000000000050932,14928.105,1.15,2,26.0,18.0,2.48,2.125,14.144,False
33,14943.65,14952.76,9.110000000000582,14947.665,5.264583333333333,8,31.0,17.0,38.78,5.578749999999999,36.034,False
34,15034.27,15036.01,1.7399999999997817,15035.14,8.783333333333333,2,13.0,12.0,3.75,1.99,9.325,False
35,15066.49,15086.39,19.899999999999636,15076.966666666667,7.279629629629629,9,29.0,18.666666666666668,18.240000000000002,2.787777777777778,30.572000000000003,False
36,16509.36,16515.7,6.3400000000001455,16511.64333333333,6.055555555555556,3,35.0,21.666666666666668,9.85,9.953333333333333,21.455,False
37,16595.76,16597.57,1.8100000000013097,16596.966666666667,6.533333333333332,3,14.0,12.0,6.140000000000001,3.23,11.942000000000002,False
38,18175.87,18186.01,10.139999999999418,18178.427499999998,5.7875,4,23.0,18.75,7.8100000000000005,2.9175,17.543,False
39,20335.14,20335.33,0.1900000000023283,20335.235,6.941666666666666,2,21.0,16.0,4.77,3.4499999999999997,12.831,False
40,21282.56,21282.59,0.029999999998835847,21282.5775,7.183333333333333,4,28.0,17.5,9.44,4.1625,20.032000000000004,False
41,21304.48,21307.63,3.150000000001455,21306.055,4.75,2,39.0,26.5,7.72,1.785,20.916,False
